latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.05325,-4.811,315.26,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.5,3.46,N
43.05327,-4.90628,348.58,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,295.57,182.54,N
43.0537,-4.91116,321.92,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.81,2.88,N
43.05376,-4.81674,327.62,0.42,0.45,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.76,5.45,N
43.05419,-4.91674,306.71,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.15,2.88,N
43.05468,-4.87429,305.54,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,290.17,1.57,N
43.0551,-4.83167,354.95,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,302.15,17.24,N
43.05513,-4.87933,308.75,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,290.66,1.75,N
43.05553,-4.83648,319.92,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.76,12.49,N
43.05558,-4.88444,306.54,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.58,1.75,N
43.05604,-4.88963,309.48,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.5,1.06,N
43.05604,-4.84209,353.8,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,296.85,12.49,N
43.0565,-4.89489,310.29,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.67,1.06,N
43.05698,-4.9002,315.47,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.32,1.75,N
43.05744,-4.90545,314.3,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.44,1.75,N
43.05791,-4.91068,305.51,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,291.96,2.33,N
43.05884,-4.87341,306.99,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.24,1.57,N
43.05961,-4.83471,320.27,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.39,8.17,N
